evaluation,score,best_score,recall,fpr,selected_features,best_recall,best_fpr,best_selected_features,cache_hit,algorithm,seed
65,0.7185185905607792,0.8677818808616077,0.9554233524655411,0.056607142857142856,22,0.9534961665758934,0.04973214285714286,18,0,pso,0
66,0.8042274149175359,0.8677818808616077,0.9500607482508693,0.05205357142857143,22,0.9534961665758934,0.04973214285714286,18,0,pso,0
67,0.7704370731911685,0.8677818808616077,0.9579370731911685,0.055089285714285716,18,0.9534961665758934,0.04973214285714286,18,0,pso,0
68,0.7538683618321433,0.8677818808616077,0.9627969332607147,0.054732142857142854,24,0.9534961665758934,0.04973214285714286,18,0,pso,0
69,0.8490188259727202,0.8677818808616077,0.954375968829863,0.05026785714285714,21,0.9534961665758934,0.04973214285714286,18,0,pso,0
70,0.6912285111790746,0.8677818808616077,0.9578951778457413,0.05785714285714286,23,0.9534961665758934,0.04973214285714286,18,0,pso,0
71,0.8580066992652354,0.8677818808616077,0.9532447945033307,0.05,20,0.9534961665758934,0.04973214285714286,18,0,pso,0
72,0.43308178669683145,0.8677818808616077,0.9539151200301647,0.07223214285714286,16,0.9534961665758934,0.04973214285714286,18,0,pso,0
73,0.6611543115297986,0.8677818808616077,0.9617495496250367,0.060267857142857144,20,0.9534961665758934,0.04973214285714286,18,0,pso,0
74,0.7139030202554021,0.8677818808616077,0.9484268297792116,0.05696428571428572,20,0.9534961665758934,0.04973214285714286,18,0,pso,0
75,0.7965747313211599,0.8677818808616077,0.9471699694163979,0.05419642857142857,14,0.9534961665758934,0.04973214285714286,18,0,pso,0
76,0.717460882714978,0.8677818808616077,0.9579370731911685,0.0575,19,0.9534961665758934,0.04973214285714286,18,0,pso,0
77,0.8105030134723461,0.8677818808616077,0.9569315849009175,0.05303571428571428,18,0.9534961665758934,0.04973214285714286,18,0,pso,0
78,0.7996417947965981,0.8677818808616077,0.949641794796598,0.05392857142857143,15,0.9534961665758934,0.04973214285714286,18,0,pso,0
79,0.7480971283733235,0.8677818808616077,0.9534542712304663,0.055982142857142855,18,0.9534961665758934,0.04973214285714286,18,0,pso,0
80,0.6363931399364388,0.8677818808616077,0.9542502827935816,0.06017857142857143,24,0.9534961665758934,0.04973214285714286,18,0,pso,0
81,0.4950790425517059,0.8677818808616077,0.9534123758850391,0.06839285714285714,19,0.9534961665758934,0.04973214285714286,18,0,pso,0
82,0.7740275292319785,0.8677818808616077,0.9537894339938833,0.05375,22,0.9534961665758934,0.04973214285714286,18,0,pso,0
83,-0.050431073179198455,0.8677818808616077,0.9602832125350873,0.09625,18,0.9534961665758934,0.04973214285714286,18,0,pso,0
84,0.6393361383264605,0.8677818808616077,0.9536218526121748,0.062142857142857146,15,0.9534961665758934,0.04973214285714286,18,0,pso,0
85,0.8557585152289581,0.8677818808616077,0.955758515228958,0.04982142857142857,21,0.9534961665758934,0.04973214285714286,18,0,pso,0
86,0.82109485505208,0.8677818808616077,0.9508567598139847,0.05125,22,0.9534961665758934,0.04973214285714286,18,0,pso,0
87,0.6647480094723381,0.8677818808616077,0.9516527713771,0.059821428571428574,19,0.9534961665758934,0.04973214285714286,18,0,pso,0
88,0.5277784843461035,0.8677818808616077,0.9474213414889606,0.06526785714285714,24,0.9534961665758934,0.04973214285714286,18,0,pso,0
89,0.8143361383264606,0.8677818808616077,0.9536218526121748,0.05267857142857143,18,0.9534961665758934,0.04973214285714286,18,0,pso,0
90,0.8042780135222216,0.8677818808616077,0.9495161087603168,0.0525,20,0.9534961665758934,0.04973214285714286,18,0,pso,0
91,0.6922720544080885,0.8677818808616077,0.9506053877414219,0.05696428571428572,25,0.9534961665758934,0.04973214285714286,18,0,pso,0
92,0.8703233323158749,0.8703233323158749,0.9512757132682559,0.049553571428571426,17,0.9512757132682559,0.049553571428571426,17,0,pso,0
93,0.7820621337897932,0.8703233323158749,0.9481335623612217,0.05330357142857143,21,0.9512757132682559,0.049553571428571426,17,0,pso,0
94,0.3977010427950979,0.8703233323158749,0.9572248523189074,0.07321428571428572,20,0.9512757132682559,0.049553571428571426,17,0,pso,0
95,0.7341030605547344,0.8703233323158749,0.9567221081737819,0.056607142857142856,19,0.9512757132682559,0.049553571428571426,17,0,pso,0
96,0.774589575241048,0.8703233323158749,0.9531610038124765,0.05392857142857143,21,0.9512757132682559,0.049553571428571426,17,0,pso,0
97,0.6914064167709063,0.8703233323158749,0.9545016548661444,0.05839285714285714,20,0.9512757132682559,0.049553571428571426,17,0,pso,0
98,0.6489404966393949,0.8703233323158749,0.9596547823536805,0.06053571428571428,21,0.9512757132682559,0.049553571428571426,17,0,pso,0
99,0.710689622323436,0.8703233323158749,0.9529515270853408,0.056875,22,0.9512757132682559,0.049553571428571426,17,0,pso,0
100,0.7791333000165586,0.8703233323158749,0.9535380619213205,0.05348214285714286,22,0.9512757132682559,0.049553571428571426,17,0,pso,0
101,0.8071339793196596,0.8703233323158749,0.9547530269387071,0.05142857142857143,25,0.9512757132682559,0.049553571428571426,17,0,pso,0
102,0.6703320355751333,0.8703233323158749,0.9506891784322762,0.05973214285714286,18,0.9512757132682559,0.049553571428571426,17,0,pso,0
103,0.7920957697671217,0.8703233323158749,0.9510243411956931,0.053660714285714284,18,0.9512757132682559,0.049553571428571426,17,0,pso,0
104,0.7171518297293362,0.8703233323158749,0.9558423059198123,0.05669642857142857,22,0.9512757132682559,0.049553571428571426,17,0,pso,0
105,0.754300881398267,0.8703233323158749,0.953705643303029,0.054017857142857145,25,0.9512757132682559,0.049553571428571426,17,0,pso,0
106,0.5754693774950175,0.8703233323158749,0.954040806066446,0.06392857142857143,21,0.9512757132682559,0.049553571428571426,17,0,pso,0
107,0.7380112728404445,0.8703233323158749,0.9540827014118731,0.05580357142857143,21,0.9512757132682559,0.049553571428571426,17,0,pso,0
108,0.8606461060271442,0.8703233323158749,0.9558842012652394,0.04705357142857143,20,0.9512757132682559,0.049553571428571426,17,0,pso,0
109,0.7335458773982593,0.8703233323158749,0.9484268297792116,0.05526785714285714,23,0.9512757132682559,0.049553571428571426,17,0,pso,0
110,0.7797040492848863,0.8703233323158749,0.952323096903934,0.053392857142857145,22,0.9512757132682559,0.049553571428571426,17,0,pso,0
111,0.5740014194542036,0.8703233323158749,0.9555490385018225,0.06526785714285714,16,0.9512757132682559,0.049553571428571426,17,0,pso,0
112,0.685514958633334,0.8703233323158749,0.9503959110142863,0.057053571428571426,26,0.9512757132682559,0.049553571428571426,17,0,pso,0
113,0.7982630888041672,0.8703233323158749,0.9565964221375005,0.053392857142857145,19,0.9512757132682559,0.049553571428571426,17,0,pso,0
114,0.451668556944752,0.8703233323158749,0.9534542712304663,0.069375,24,0.9512757132682559,0.049553571428571426,17,0,pso,0
115,0.8263333941813351,0.8703233323158749,0.9531191084670493,0.052767857142857144,15,0.9512757132682559,0.049553571428571426,17,0,pso,0
116,0.5264574592667517,0.8703233323158749,0.9562193640286564,0.06696428571428571,19,0.9512757132682559,0.049553571428571426,17,0,pso,0
117,0.8508844905426245,0.8703233323158749,0.9461225857807197,0.047410714285714285,20,0.9512757132682559,0.049553571428571426,17,0,pso,0
118,0.5871314705864751,0.8703233323158749,0.9532028991579036,0.06330357142857143,21,0.9512757132682559,0.049553571428571426,17,0,pso,0
119,0.7907692833302412,0.8703233323158749,0.9544597595207173,0.053660714285714284,19,0.9512757132682559,0.049553571428571426,17,0,pso,0
120,0.762440523572117,0.8703233323158749,0.9552976664292597,0.05607142857142857,15,0.9512757132682559,0.049553571428571426,17,0,pso,0
