evaluation,score,best_score,recall,fpr,selected_features,best_recall,best_fpr,best_selected_features,cache_hit,algorithm,seed
27,-1.6763618979788488,0.8387077081450536,0.991495244878294,0.17982142857142858,15,0.9529934224307679,0.04964285714285714,24,0,ga,0
28,0.8254410482614429,0.8387077081450536,0.944488667309062,0.048035714285714286,25,0.9529934224307679,0.04964285714285714,24,0,ga,0
29,0.7628436914587361,0.8387077081450536,0.9539151200301647,0.05455357142857143,21,0.9529934224307679,0.04964285714285714,24,0,ga,0
30,0.6437922320044529,0.8387077081450536,0.9455779462901671,0.06008928571428571,21,0.9529934224307679,0.04964285714285714,24,0,ga,0
31,0.7427116562826059,0.8387077081450536,0.9439021324730822,0.05410714285714286,25,0.9529934224307679,0.04964285714285714,24,0,ga,0
32,0.7935985408449693,0.8387077081450536,0.9471699694163979,0.05196428571428571,24,0.9529934224307679,0.04964285714285714,24,0,ga,0
33,0.7768480834874484,0.8387077081450536,0.9470861787255436,0.05375,20,0.9529934224307679,0.04964285714285714,24,0,ga,0
34,0.3265586564761228,0.8387077081450536,0.9551300850475513,0.07714285714285714,18,0.9529934224307679,0.04964285714285714,24,0,ga,0
35,0.8085371741390008,0.8387077081450536,0.9490133646151913,0.0525,19,0.9529934224307679,0.04964285714285714,24,0,ga,0
36,0.741777415017287,0.8387077081450536,0.9352297959696678,0.054910714285714285,20,0.9529934224307679,0.04964285714285714,24,0,ga,0
37,0.8110019172108074,0.8387077081450536,0.9490971553060455,0.05285714285714286,17,0.9529934224307679,0.04964285714285714,24,0,ga,0
38,0.8657567396643185,0.8657567396643185,0.9467091206166995,0.048482142857142856,17,0.9467091206166995,0.048482142857142856,17,0,ga,0
39,0.8568613603219158,0.8657567396643185,0.9473375507981063,0.048035714285714286,19,0.9467091206166995,0.048482142857142856,17,0,ga,0
40,0.43480435871193757,0.8657567396643185,0.9467091206166995,0.07107142857142858,19,0.9467091206166995,0.048482142857142856,17,0,ga,0
41,0.7849616158835229,0.8657567396643185,0.9504378063597134,0.052321428571428574,25,0.9467091206166995,0.048482142857142856,17,0,ga,0
42,0.5226411424262195,0.8657567396643185,0.9440697138547908,0.06678571428571428,18,0.9467091206166995,0.048482142857142856,17,0,ga,0
43,0.8366145618245623,0.8657567396643185,0.947924085634086,0.05080357142857143,20,0.9467091206166995,0.048482142857142856,17,0,ga,0
44,0.8271326476461799,0.8657567396643185,0.9479659809795131,0.05151785714285714,19,0.9467091206166995,0.048482142857142856,17,0,ga,0
45,0.6194435300619054,0.8657567396643185,0.9503959110142863,0.061785714285714284,20,0.9467091206166995,0.048482142857142856,17,0,ga,0
46,0.8552835018124725,0.8657567396643185,0.9505215970505677,0.048482142857142856,20,0.9467091206166995,0.048482142857142856,17,0,ga,0
47,0.77745040389108,0.8657567396643185,0.9494742134148896,0.05455357142857143,17,0.9467091206166995,0.048482142857142856,17,0,ga,0
48,0.83995040389108,0.8657567396643185,0.9494742134148896,0.04964285714285714,23,0.9467091206166995,0.048482142857142856,17,0,ga,0
49,0.8366145618245623,0.8657567396643185,0.947924085634086,0.05080357142857143,20,0.9467091206166995,0.048482142857142856,17,1,ga,0
50,0.659104681505599,0.8657567396643185,0.9537475386484562,0.060446428571428575,18,0.9467091206166995,0.048482142857142856,17,0,ga,0
51,0.8247707227346089,0.8657567396643185,0.943818341782228,0.0475,25,0.9467091206166995,0.048482142857142856,17,0,ga,0
52,0.8256646896053658,0.8657567396643185,0.9494742134148896,0.04705357142857143,26,0.9467091206166995,0.048482142857142856,17,0,ga,0
53,0.818792232004453,0.8657567396643185,0.9455779462901671,0.05133928571428571,21,0.9467091206166995,0.048482142857142856,17,0,ga,0
54,0.8468244824428579,0.8657567396643185,0.9503959110142863,0.05017857142857143,21,0.9467091206166995,0.048482142857142856,17,0,ga,0
55,0.8505634923959948,0.8657567396643185,0.9505634923959948,0.049553571428571426,21,0.9467091206166995,0.048482142857142856,17,0,ga,0
56,0.8226727135615234,0.8657567396643185,0.9476727135615233,0.05125,21,0.9467091206166995,0.048482142857142856,17,0,ga,0
57,0.72279677864694,0.8657567396643185,0.9507729691231305,0.05544642857142857,25,0.9467091206166995,0.048482142857142856,17,0,ga,0
58,0.7680103850581248,0.8657567396643185,0.9495580041057439,0.05455357142857143,19,0.9467091206166995,0.048482142857142856,17,0,ga,0
59,0.8252789282372635,0.8657567396643185,0.9496836901420252,0.05026785714285714,25,0.9467091206166995,0.048482142857142856,17,0,ga,0
60,0.8432318069462483,0.8657567396643185,0.9432318069462483,0.04794642857142857,21,0.9467091206166995,0.048482142857142856,17,0,ga,0
61,0.8474632368343877,0.8657567396643185,0.9474632368343877,0.048214285714285716,21,0.9467091206166995,0.048482142857142856,17,0,ga,0
62,0.8346715903672626,0.8657567396643185,0.9441953998910722,0.04883928571428572,23,0.9467091206166995,0.048482142857142856,17,0,ga,0
63,0.8589142322478449,0.8657567396643185,0.9493904227240354,0.04901785714285714,19,0.9467091206166995,0.048482142857142856,17,0,ga,0
64,0.8277855666544972,0.8657567396643185,0.9498093761783066,0.05133928571428571,20,0.9467091206166995,0.048482142857142856,17,0,ga,0
65,0.8340573248026429,0.8657567396643185,0.9483430390883573,0.04973214285714286,24,0.9467091206166995,0.048482142857142856,17,0,ga,0
