evaluation,score,best_score,recall,fpr,selected_features,best_recall,best_fpr,best_selected_features,cache_hit,algorithm,seed
72,0.738344814652997,0.8651147433710591,0.9573924337006159,0.05714285714285714,16,0.9555909338472496,0.05,19,0,sa,0
73,0.8356461060271442,0.8651147433710591,0.9558842012652394,0.05196428571428571,17,0.9555909338472496,0.05,19,0,sa,0
74,-0.09662832245051864,0.8651147433710591,0.98194310612091,0.09964285714285714,18,0.9555909338472496,0.05,19,0,sa,0
75,0.86181209339071,0.8651147433710591,0.9546692362478528,0.05035714285714286,18,0.9555909338472496,0.05,19,0,sa,0
76,0.8611488501722697,0.8651147433710591,0.956386945410365,0.04625,20,0.9555909338472496,0.05,19,0,sa,0
77,0.8570572709371989,0.8651147433710591,0.9570572709371988,0.047410714285714285,21,0.9555909338472496,0.05,19,0,sa,0
78,0.8652823247527676,0.8652823247527676,0.955758515228958,0.048482142857142856,19,0.955758515228958,0.048482142857142856,19,0,sa,0
79,0.8746804482402957,0.8746804482402957,0.9556328291926767,0.048482142857142856,17,0.9556328291926767,0.048482142857142856,17,0,sa,0
80,0.868577892424723,0.8746804482402957,0.9542921781390088,0.04973214285714286,18,0.9556328291926767,0.048482142857142856,17,0,sa,0
81,0.806514252397511,0.8746804482402957,0.9535380619213205,0.05330357142857143,17,0.9556328291926767,0.048482142857142856,17,0,sa,0
82,0.797568274450423,0.8746804482402957,0.95471113159328,0.05357142857142857,18,0.9556328291926767,0.048482142857142856,17,0,sa,0
83,0.757971886228202,0.8746804482402957,0.9555909338472496,0.055357142857142855,19,0.9556328291926767,0.048482142857142856,17,0,sa,0
84,0.8081062755237417,0.8746804482402957,0.9551300850475513,0.05330357142857143,17,0.9556328291926767,0.048482142857142856,17,0,sa,0
85,0.6689549505335671,0.8746804482402957,0.9546692362478528,0.06,18,0.9556328291926767,0.048482142857142856,17,0,sa,0
86,0.6520962136582816,0.8746804482402957,0.9532866898487578,0.06053571428571428,19,0.9556328291926767,0.048482142857142856,17,0,sa,0
87,0.6646468122629672,0.8746804482402957,0.9527420503582053,0.05964285714285714,20,0.9556328291926767,0.048482142857142856,17,0,sa,0
88,0.8355639362871548,0.8746804482402957,0.9528258410490594,0.05133928571428571,19,0.9556328291926767,0.048482142857142856,17,0,sa,0
89,0.8442498389024217,0.8746804482402957,0.951987934140517,0.050625,20,0.9556328291926767,0.048482142857142856,17,0,sa,0
90,0.8557862459575979,0.8746804482402957,0.9510243411956931,0.05,20,0.9556328291926767,0.048482142857142856,17,0,sa,0
