evaluation,score,best_score,recall,fpr,selected_features,best_recall,best_fpr,best_selected_features,cache_hit,algorithm,seed
61,0.04564228557064469,0.06646691564471964,0.9813565712849303,0.09107142857142857,24,0.98194310612091,0.08982142857142857,25,0,tabu,0
62,-0.4349852568284426,0.06646691564471964,0.9852528384096527,0.11482142857142857,26,0.98194310612091,0.08982142857142857,25,0,tabu,0
63,-0.06009191539534227,0.06646691564471964,0.9809795131760861,0.09633928571428571,24,0.98194310612091,0.08982142857142857,25,0,tabu,0
64,-0.11083894930463707,0.06646691564471964,0.982613431647744,0.09919642857142857,23,0.98194310612091,0.08982142857142857,25,0,tabu,0
65,0.022227226388481416,0.06646691564471964,0.9805605597218149,0.09196428571428572,25,0.98194310612091,0.08982142857142857,25,0,tabu,0
66,-0.047600618654600926,0.06646691564471964,0.9815660480120658,0.09598214285714286,23,0.98194310612091,0.08982142857142857,25,0,tabu,0
67,-0.06208710640819233,0.06646691564471964,0.9807700364489506,0.09642857142857143,24,0.98194310612091,0.08982142857142857,25,0,tabu,0
68,-0.03743097243086764,0.06646691564471964,0.9810214085215132,0.09544642857142857,23,0.98194310612091,0.08982142857142857,25,0,tabu,0
69,-0.01438426809829041,0.06646691564471964,0.9808538271398047,0.09357142857142857,26,0.98194310612091,0.08982142857142857,25,0,tabu,0
70,-0.0661280870385776,0.06646691564471964,0.9808957224852319,0.096875,23,0.98194310612091,0.08982142857142857,25,0,tabu,0
71,-0.07310336279972618,0.06646691564471964,0.9810633038669404,0.09651785714285714,26,0.98194310612091,0.08982142857142857,25,0,tabu,0
72,-0.07697676204840297,0.06646691564471964,0.9813565712849303,0.09696428571428571,25,0.98194310612091,0.08982142857142857,25,0,tabu,0
73,0.8362358827648534,0.8362358827648534,0.9505215970505677,0.046964285714285715,24,0.9505215970505677,0.046964285714285715,24,0,tabu,0
74,-0.19561413090100932,0.8362358827648534,0.9823620595751812,0.10294642857142858,25,0.9505215970505677,0.046964285714285715,24,0,tabu,0
75,0.8384840668011307,0.8384840668011307,0.9480078763249403,0.045892857142857145,23,0.9480078763249403,0.045892857142857145,23,0,tabu,0
76,0.8413329502901751,0.8413329502901751,0.9508567598139847,0.047857142857142855,23,0.9508567598139847,0.047857142857142855,23,0,tabu,0
77,0.6683771189568459,0.8413329502901751,0.9534961665758934,0.05830357142857143,25,0.9508567598139847,0.047857142857142855,23,0,tabu,0
78,0.8410396828721852,0.8413329502901751,0.9505634923959948,0.047857142857142855,23,0.9508567598139847,0.047857142857142855,23,0,tabu,0
79,0.8449636807255476,0.8449636807255476,0.9497255854874523,0.048928571428571425,22,0.9497255854874523,0.048928571428571425,22,0,tabu,0
80,0.8550740250853368,0.8550740250853368,0.950312120323432,0.047857142857142855,20,0.950312120323432,0.047857142857142855,20,0,tabu,0
